SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
MAT102,R1,CÁLCULO II,GUARACHI SOLANO JONATHAN FELIX,Lun,16:00-18:15,Vie,16:00-18:15,,
INF329,SA,COMPILADORES,BARROSO VIRUEZ GINO,Lun,11:30-13:00,Mie,11:30-13:00,Vie,11:30-13:00
ADM200,SB,CONTABILIDAD,OROSCO GOMEZ RUBEN,Lun,16:00-17:30,Mie,16:00-17:30,Vie,16:00-17:30
ADM200,SA,CONTABILIDAD,FLORES FLORES MARCOS OSCAR,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
ELC002,SA,COSTOS Y PRESUPUESTOS,CHAHIN AVICHACRA JUAN MANUEL,Lun,15:15-16:45,Vie,15:15-16:45,,
ELC107,SA,CRIPTOGRAFIA Y SEGURIDAD,PEREZ DELGADILLO SHIRLEY EULALIA,Lun,16:00-17:30,Vie,16:00-17:30,,
ROB203,W1,DINAMICA,SALVATIERRA MERCADO ROLANDO,Lun,17:30-19:00,Mie,17:30-19:00,Vie,17:30-19:00
ELC201,SA,DISEÑO DE CIRCUITOS INTEGRADOS,HINOJOSA SAAVEDRA JOSE SAID,Lun,07:00-08:30,Vie,07:00-08:30,,
ECO300,SA,ECONOMIA PARA LA GESTION,TERRAZAS SOTO RICARDO,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
ECO300,SB,ECONOMIA PARA LA GESTION,TERRAZAS SOTO RICARDO,Lun,11:30-13:00,Mie,11:30-13:00,Vie,11:30-13:00
MAT207,NW,ECUACIONES DIFERENCIALES,MIRANDA CARRASCO CARLOS,Lun,09:15-11:30,Vie,09:15-11:30,,
MAT207,NX,ECUACIONES DIFERENCIALES,GRAGEDA ESCUDERO MARIO WILSON,Lun,18:15-20:30,Vie,18:15-20:30,,
MAT207,SA,ECUACIONES DIFERENCIALES,GRAGEDA ESCUDERO MARIO WILSON,Lun,20:30-22:45,Vie,20:30-22:45,,
MAT207,SC,ECUACIONES DIFERENCIALES,AVENDAÑO GONZALES EUDAL,Lun,20:30-22:45,Vie,20:30-22:45,,
ROB201,W1,ELECTRICIDAD Y MAGNETISMO,ROSALES FUENTES JORGE MARCELO,Lun,16:00-18:15,Vie,16:00-18:15,,
RDS310,SB,ELECTRONICA APLICADA A REDES,SILES MUÑOZ FELIX,Mar,11:30-13:45,Vie,16:00-18:15,,
ROB103,W1,ESTATICA,GIANELLA PEREDO LUIS ANTONIO,Lun,16:00-18:15,Vie,10:00-12:15,,
INF220,SA,ESTRUCTURA DE DATOS I,LOPEZ WINNIPEG MARIO MILTON,Lun,07:00-09:15,Vie,07:00-09:15,,
INF220,SB,ESTRUCTURA DE DATOS I,CAMPOS BARRERA MARIO,Lun,20:30-22:45,Vie,20:30-22:45,,
INF220,SD,ESTRUCTURA DE DATOS I,LOPEZ WINNIPEG MARIO MILTON,Mar,11:30-13:45,Jue,11:30-13:45,,
INF220,R1,ESTRUCTURA DE DATOS I,PEINADO PEREIRA JUAN CARLOS,Mar,15:15-17:30,Jue,15:15-17:30,,
INF310,SA,ESTRUCTURA DE DATOS II,PEINADO PEREIRA JUAN CARLOS,Mar,07:00-09:15,Jue,07:00-09:15,,
INF310,SB,ESTRUCTURA DE DATOS II,VACA PINTO CESPEDES ROBERTO CARLOS,Mar,16:00-18:15,Jue,16:00-18:15,,
INF310,SX,ESTRUCTURA DE DATOS II,VARGAS YAPURA EDWIN,Mar,20:30-22:45,Jue,20:30-22:45,,
INF119,SP,ESTRUCTURAS DISCRETAS,MARTINEZ CARDONA SARAH MIRNA,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
INF119,Z1,ESTRUCTURAS DISCRETAS,GUTIERREZ BRUNO KATIME ESTHER,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
