SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
INF210,SA,PROGRAMACION II,CONTRERAS VILLEGAS JUAN CARLOS,Lun,13:45-16:00,Mie,13:45-16:00,,
INF210,SB,PROGRAMACION II,CONTRERAS VILLEGAS JUAN CARLOS,Lun,09:15-11:30,Mie,09:15-11:30,,
INF210,SC,PROGRAMACION II,CONTRERAS VILLEGAS JUAN CARLOS,Lun,07:00-09:15,Mie,07:00-09:15,,
INF210,SI,PROGRAMACION II,PEREZ DELGADILLO SHIRLEY EULALIA,Lun,16:00-17:30,Mie,16:00-17:30,Vie,16:00-17:30
INF210,SD,PROGRAMACION II,LOPEZ NEGRETTY MARY DUNNIA,Lun,18:15-20:30,Mie,18:15-20:30,,
INF318,SA,PROGRAMACION LOGICA Y FUNCIONAL,BARROSO VIRUEZ GINO,Lun,18:15-20:30,Mie,18:15-20:30,,
ELC208,SA,REDES ADHOC,ZABALA QUIROZ NOLBERTO,Lun,21:15-22:45,Mie,21:15-22:45,,
INF433,SA,REDES I,GONZALES SANDOVAL JORGE ANTONIO,Lun,19:45-21:15,Mie,19:45-21:15,Vie,19:45-21:15
INF433,SC,REDES I,VILLAGOMEZ MELGAR JOSE JUNIOR,Lun,19:00-21:15,Mie,19:00-21:15,,
INF433,SB,REDES I,MONRROY DIPP VICTOR FERNANDO,Lun,09:15-11:30,Mie,09:15-11:30,,
INF423,SB,REDES II,GONZALES SANDOVAL JORGE ANTONIO,Lun,18:15-20:30,Mie,18:15-20:30,,
INF423,SC,REDES II,GONZALES SANDOVAL JORGE ANTONIO,Lun,18:15-19:45,Mie,18:15-19:45,Vie,18:15-19:45
INF423,R1,REDES II,PAZ MENDOZA ROBERTO CARLOS,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
RDS512,SA,REDES INALAMBRICAS Y COM. MOVILES,SALVATIERRA ARTEAGA ERNESTO ARMANDO,Lun,18:15-20:30,Mie,18:15-20:30,,
RDS519,SA,SEGURIDAD EN REDES Y TX DE DATOS,BALCAZAR VEIZAGA EVANS,Lun,09:15-11:30,Mie,09:15-11:30,,
ELT354,R1,SEÑALES Y SISTEMAS,LAZO QUISPE SEBASTIAN,Mar,10:00-11:30,Jue,15:15-16:45,Vie,15:15-16:45
ELT374,SR,SISTEMAS DE COMUNICACIÓN I,SEVERICHE TOLEDO SAUL,Lun,10:00-12:15,Mie,10:00-12:15,,
ELT384,SR,SISTEMAS DE COMUNICACIÓN II,SELAYA GARVIZU IVAN VLADISHLAV,Lun,13:00-16:00,Jue,13:45-15:15,,
ELC203,R1,SISTEMAS DE COMUNICACIÓN SCADA,ROSALES FUENTES JORGE MARCELO,Lun,18:15-19:45,Mie,18:15-19:45,,
INF442,SA,SISTEMAS DE INFORMACION GEOGRAFICA,CALDERON FLORES MODESTO FRANKLIN,Lun,18:15-19:45,Mar,18:15-19:45,Jue,18:15-19:45
INF442,SI,SISTEMAS DE INFORMACION GEOGRAFICA,PEREZ FERREIRA UBALDO,Lun,13:00-15:15,Mie,13:00-15:15,,
INF342,SC,SISTEMAS DE INFORMACION I,GARZON CUELLAR ANGELICA,Lun,07:00-08:30,Mar,07:00-08:30,Jue,07:00-08:30
INF342,SA,SISTEMAS DE INFORMACION I,GARZON CUELLAR ANGELICA,Lun,09:15-11:30,Mie,09:15-11:30,,
INF412,SA,SISTEMAS DE INFORMACION II,GARZON CUELLAR ANGELICA,Lun,07:00-09:15,Mie,07:00-09:15,,
INF412,SB,SISTEMAS DE INFORMACION II,MARTINEZ CANEDO ROLANDO ANTΟΝΙΟ,Lun,16:45-18:15,Mar,16:45-18:15,Jue,16:45-18:15
INF428,SB,SISTEMAS EXPERTOS,BARROSO VIRUEZ GINO,Lun,10:00-11:30,Mar,10:00-11:30,Jue,10:00-11:30
ELT352,ER,SISTEMAS LOGICOS Y DIGITALES I,CABALLERO RUA MAURICIO CHRISTIAN,Lun,16:00-18:15,Mie,16:00-18:15,,
ELT362,R1,SISTEMAS LOGICOS Y DIGITALES II,HINOJOSA SAAVEDRA JOSE SAID,Jue,11:30-13:45,Vie,11:30-13:45,,
INF323,SA,SISTEMAS OPERATIVOS I,BARROSO VIRUEZ GINO,Lun,07:00-08:30,Mar,07:00-08:30,Jue,07:00-08:30
INF323,SC,SISTEMAS OPERATIVOS I,BARROSO VIRUEZ GINO,Lun,08:30-10:00,Mar,08:30-10:00,Jue,08:30-10:00
INF413,SA,SISTEMAS OPERATIVOS II,SANCHEZ VELASCO ENRIQUE,Lun,08:30-10:00,Mar,08:30-10:00,Jue,08:30-10:00
INF413,SB,SISTEMAS OPERATIVOS II,CALLE TERRAZAS EDWIN,Lun,16:00-18:15,Mie,16:00-18:15,,
INF432,SA,SISTEMAS SOPORTE A TOMA DECISIONES,ARANIBAR QUIROZ MARTHA MONICA,Lun,18:15-19:45,Mar,18:15-19:45,Jue,18:15-19:45
RDS421,SA,TALLER DE ANALISIS Y DISEÑO DE REDES,GONZALES SANDOVAL JORGE ANTOΝΙΟ,Lun,21:15-22:45,Mar,21:15-22:45,Jue,21:15-22:45
INF511,SA,TALLER DE GRADO I,MARTINEZ CANEDO ROLANDO ANTONIO,Lun,20:30-22:45,Mie,20:30-22:45,,
INF511,SC,TALLER DE GRADO I,PAREDES MOJYANO ADOLFO,Lun,19:45-21:15,Mar,19:45-21:15,Jue,19:45-21:15
INF511,SS,TALLER DE GRADO I,VILLAGOMEZ MELGAR JOSE JUNIOR,Lun,19:45-21:15,Mar,19:45-21:15,Jue,19:45-21:15
ROB202,W1,TECNOLOGIA DE LA MANUFACTURA,MARQUEZ PARADA GERMAN FERNANDO,Lun,16:00-17:30,Mar,16:00-17:30,Jue,16:00-17:30
INF513,SC,TECNOLOGIA WEB,BALCAZAR VEIZAGA EVANS,Lun,07:00-09:15,Mie,07:00-09:15,,
INF513,SA,TECNOLOGIA WEB,BALCAZAR VEIZAGA EVANS,Lun,08:30-10:00,Mar,08:30-10:00,Jue,08:30-10:00
ELT241,SC,TEORIA DE CAMPOS,SALVATIERRA MERCADO ROLANDO,Lun,10:00-11:30,Mar,10:00-11:30,Jue,10:00-11:30
ELC103,SA,TOPIC. AVANZ DE PROGRAMACION,PEINADO PEREIRA MIGUEL JESUS,Lun,18:15-20:30,Mie,18:15-20:30,,
